lambda,P(op),nvals,gammas,betas,fmax
0.0,0.45,4,[0.8666761877931571 0.8666760896069691 5.4165091954523445 5.416509093448427],[0.7853981380750696 3.926990841754951 2.3561944751272557 5.497787182892603],2.8679075520321082
0.04,0.19,2,[0.8643820926201107 0.8643821365331371],[0.7852710440815812 3.9268636716303638],2.832054201775355
0.08,0.26,2,[0.8610858014963368 0.8610858517547808],[0.7848698283308343 3.9264623871028106],2.794601380277516
0.12,0.3,2,[0.8567275636769149 0.8567264485190872],[0.7841559857699176 3.925747288557939],2.7555940836722996
0.16,0.23,2,[0.8512449379726541 0.8512440146401388],[0.7830783697729503 3.924670369586107],2.7150947281213926
0.2,0.19,2,[0.8445741357124683 0.8445734777828025],[0.7815707458153203 3.923163267963383],2.6731848105678813
0.24,0.2,2,[0.8366526034508779 0.8366522296390381],[0.7795502298019389 3.9211429466695615],2.6299667406448504
0.28,0.26,2,[0.827422586205183 0.8274223215225661],[0.7769158293079206 3.9185085686656005],2.585565802432879
0.32,0.21,2,[0.8168362589597061 0.8168359421598611],[0.7735479644465783 3.9151405973987257],2.5401321439265896
0.36,0.19,2,[0.8048626361787239 0.8048626705217158],[0.769310271078537 3.9109027969010226],2.493842592886625
0.4,0.24,2,[0.7914990302788286 0.7914990301695475],[0.7640547484370865 3.9056471242776536],2.4469019492384425
0.44,0.29,2,[0.7767806778499458 0.7767802495504061],[0.7576303026056183 3.899223457783846],2.39954320562773
0.48,0.25,2,[0.7607932172331078 0.7607933905588208],[0.7499030310864475 3.891494820570734],2.352025927866049
0.52,0.26,2,[5.510014480517965 5.510014482474571],[0.7574817018643787 3.899076538876104],2.3576487924685736
0.56,0.2,2,[5.469160914322192 5.469160954271385],[0.7781036345528376 3.9196963152566764],2.3745159014564514
0.6,0.26,1,[5.425644918016628],[0.7949475690743634],2.33453377410399
0.64,0.24,2,[5.373829284527855 5.3738314057403365],[0.8065729914452757 3.9481637072332134],2.23994005951714
0.68,0.2,2,[0.6691237461729389 0.6691225489735315],[0.6908338017427984 3.832425701610148],2.122148923204984
0.72,0.21,2,[0.6505018320197244 0.6505018077094253],[0.6759447898157581 3.8175374685936685],2.0796246868900163
0.76,0.23,2,[0.6324571299464817 0.6324579598582941],[0.6606979810872676 3.8022924149185306],2.038731849846139
0.8,0.19,2,[3.91393607400747 3.913935971917546],[2.3573871834840836 5.4989798117428474],2.029750411059495
0.84,0.25,1,[3.903494351450205],[5.481955618708608],2.017812092865235
0.88,0.18,1,[3.8940714045273483],[5.464590949424211],1.9924084439493313
0.92,0.21,2,[3.885649773787773 3.8856497288347716],[2.3052743646028984 5.446866980531616],1.9541031257037407
0.96,0.23,2,[3.878260639436892 3.87826061286833],[2.2872052207379823 5.428797649958288],1.9037080459976172
1.0,0.45,2,[2.411208977852742 3.871976308003351],[4.014361464200003 2.2688238105744913],1.84224506861079
1.04,0.1,2,[5.673580547430758 5.673580655336829],[2.511021354990863 5.652613584433275],1.8744950895219559
1.08,0.37,4,[2.3968402490022576 2.3968404471350473 5.609535710791626 5.60953540819111],[0.8551635007925664 3.9967562558705105 2.4491386600123666 5.590732249830777],1.8976930004649084
1.12,0.31,2,[2.3889070495003972 2.38890707975295],[0.8459117218460728 3.9875044475015],1.9182820967097887
1.16,0.29,2,[2.3805086776276716 2.380508853009269],[0.8362592021154589 3.977852516633523],1.934250148010845
1.2,0.22,1,[2.371664349501264],[0.8261517019314495],1.945582575632366
1.24,0.22,1,[2.36238962122037],[0.8155530868017195],1.9524213652389149
1.28,0.23,1,[2.3526971016823324],[0.8044460126593466],1.954975617960908
1.32,0.25,3,[2.342599757598611 2.3425996450050977 2.3425993574216277],[0.7928341227741419 0.7928342236463469 3.934427103464279],1.9535145899653164
1.36,0.23,3,[2.3321037055292186 2.3321040905307173 2.3321041229137234],[0.7807420726537467 0.7807419360123137 3.9223346034169584],1.948358826517906
1.4,0.23,2,[2.3212195500251984 2.3212237819533685],[0.7682166299836709 3.9098048228906324],1.9398695329962874
1.44,0.26,2,[2.3099516726443277 2.309952986889391],[0.7553268327408545 3.8969185887177327],1.9284365126593734
1.48,0.19,2,[2.2983130025460357 2.2983135723501613],[0.7421576554305509 3.8837498087945117],1.9144652007938925
1.52,0.28,2,[3.9826107869541265 3.9826093237430347],[0.7468831129299155 3.888474707056023],1.912993317495638
1.56,0.23,1,[3.96768735838857],[0.7697869492730617],1.9187830266063521
1.6,0.21,1,[3.9547130307398093],[0.7927335256680245],1.9150693355213724
1.64,0.24,3,[3.943575750983241 3.9435757188017546 3.943575542694101],[0.8155128514394987 0.8155128388323847 3.957104662065914],1.9015850619835664
1.68,0.18,1,[3.934121332200432],[0.8378804159190861],1.8781872810720217
1.72,0.19,2,[3.926136330465782 3.926136313437483],[0.859563650133087 4.001156279350113],1.8448485267065147
1.76,0.14,2,[3.919330226980098 3.9193305394066202],[0.8802719844320315 4.021864077222693],1.8016541184156103
1.8,0.09,1,[2.1935527101801147],[0.639459831953355],1.7557678392280103
1.84,0.09,2,[2.1793521138423544 2.179351693528876],[0.6283271643275468 0.6283273001874371],1.7342937950937511
1.88,0.18,1,[2.1650017879673658],[0.6177624234200827],1.7130266099930842
1.92,0.09,2,[2.1505309736316573 2.1505309688204672],[0.6077834378993616 3.7493761768550624],1.6920317419216144
1.96,0.12,2,[2.135967742066975 2.135968551176672],[0.5983965840930401 3.7399885830688557],1.67134423702214
2.0,0.21,2,[2.121337520891924 4.161847776853844],[3.731191430179102 2.5519938718225412],1.6509730179009883